AA,LCN,Πεδίο
,,676 ## $a 949.6 $v 21η εκδ.
26,10005127,676 ## $a 780.9 $v 22η έκδ.
,,686 ## $a QUE $v 22η έκδ.
27,10005283,676 ## $a 802 $v 21η εκδ.
,,676 ## $a 809 $v 22η έκδ.
28,10005571,676 ## $a 940.28 $v 21η εκδ.
,,676 ## $a 940.2 $v 21η εκδ.
29,10005596,676 ## $a 940.21 $v 21η εκδ.
,,686 ## $a QUE $v 21η εκδ.
30,10005624,676 ## $a 027.749512 $v 21η εκδ.
,,676 ## $a 011.4 $v 21η εκδ.
31,10005626,676 ## $a 781.71190237 $v 21η εκδ.
,,676 ## $a 781.7119 $v 22η έκδ.
32,10005682,676 ## $a 781.7119001 $v 21η εκδ.
,,676 ## $a 781.7119 $v 22η έκδ.
33,10005738,676 ## $a 781.7119007 $v 21η εκδ.
,,676 ## $a 781.7119 $v 22η έκδ.
34,10005754,676 ## $a 781.71190026 $v 21η εκδ.
,,676 ## $a 781.7119 $v 22η έκδ.
35,10005802,676 ## $a 944.007 2 $v 21η εκδ.
,,676 ## $a 907.20944 $v 23η έκδ.
36,10005957,676 ## $a 306.4 $v 20η
,,676 ## $a 880.109 $v 21η
37,10005958,676 ## $a 505 $v 21η εκδ.
,,676 ## $a 050 $v 21η έκδ.
38,10005991,676 ## $a 809.91 $v 21η εκδ.
,,676 ## $a 809.91 $v 21η εκδ.
39,10006110,676 ## $a 880.1 $v 21η εκδ.
,,676 ## $a 880.109 $v 21η εκδ.
40,10006182,676 ## $a 792.809 $v 21η εκδ.
,,676 ## $a 793.319 $v 21η εκδ.
41,10006198,676 ## $a 006.3
,,676 ## $v 21η εκδ.
42,10006390,676 ## $a 889 $v Ελλ. έκδ.
,,676 ## $a 889.2 $v Ελλ. έκδ.
43,10006408,676 ## $a 914.955 $v 21η εκδ.
,,676 ## $a 938.961 $v 21η εκδ.
44,10006497,676 ## $a 306.094955 $v 21η έκδ.
,,676 ## $a 938.961 $v Ελλ. έκδ.
45,10006568,676 ## $a 782.109495 $v 21η εκδ.
,,676 ## $a 782.1094 $v 22η έκδ.
46,10006665,676 ## $a 398.22 $v 21η εκδ.
,,676 ## $a 880.109 $v 22η έκδ.
47,10006712,676 ## $a 880.016 $v 21η εκδ.
,,676 ## $a 016.88 $v 22η έκδ.
48,10006860,676 ## $a 940.091822 $v 20η έκδ.
,,676 ## $a 909.09822 $v 22η έκδ.
49,10006864,676 ## $a 780.92 $v 21η εκδ.
,,676 ## $a 782.1092 $v 23η έκδ.
50,10006916,676 ## $a 780.949512078 $v 20η
,,676 ## $a 780.949512 $v 22η έκδ.
51,10007082,676 ## $a 480.3 $v 21η εκδ.
,,676 ## $a 489.33 $v 21η εκδ.
52,10007152,676 ## $a 320.532 $v 21η εκδ.
,,676 ## $a 330.122 $v 21η εκδ.
53,10007240,676 ## $a 889.11 $v 21η εκδ.
,,676 ## $a 880 $v 21η εκδ.
54,10007256,676 ## $a 880.11 $v 21η εκδ.
,,676 ## $a 880
55,10007322,676 ## $a 889.092
,,676 ## $a 889.2 $v Ελλ. έκδ.
56,10007406,676 ## $a 759.03 $v 21η εκδ.
,,676 ## $a 759.9495 $v 22η έκδ.
57,10007593,676 ## $a 489.33 $v 21η εκδ.
,,676 ## $a 489.3 $v 22η έκδ.
58,10007685,676 ## $a 880.109 $v 21η εκδ.
,,676 ## $a 880 $v 22η έκδ.
59,10007870,676 ## $a 938.382 $v 21η εκδ.
,,676 ## $a 938.37 $v 21η εκδ.
60,10007950,676 ## $a 780.938 $v 21η εκδ.
,,676 ## $a 780.93803 $v 22η έκδ.
61,10007957,676 ## $a 880.109 $v 21η εκδ.
,,676 ## $a 306.4408981 $v 21η εκδ.
62,10008125,676 ## $a 938.3 $v 21η εκδ.
,,676 ## $a 938.308 $v 21η εκδ.
63,10008276,676 ## $a 889.15 $v Τοπική
,,676 ## $a 782.4216289 $v 22η έκδ.
64,10008353,676 ## $a 889.109 $v Τοπική
,,676 ## $a 889.2 $v Τοπική
65,10008612,676 ## $a 327.1 $v 21η εκδ.
,,676 ## $a 303.4 $v 23η έκδ.
66,10008709,676 ## $a 889.155 $v Τοπική
,,676 ## $a 889.21 $v Τοπική
67,10008988,676 ## $a 305.4309495 $v 21η εκδ.
,,676 ## $a 305.43 $v 21η εκδ.
68,10009154,676 ## $a 306.2 $v 21η εκδ.
,,676 ## $a 900 $v 21η εκδ.
69,10009260,676 ## $a 912.949587 $v 21η εκδ.
,,676 ## $a 912.196388 $v 21η έκδ.
70,10009532,676 ## $a 889.209 $v Ελλ. έκδ.
,,676 ## $a 889.2 $v Ελλ. έκδ.
71,10009565,676 ## $a 889.21 $v Ελλ. έκδ.
,,676 ## $a 782.1409495 $v 22η έκδ.
72,10009746,676 ## $a 320.1 $v 21η εκδ.
,,676 ## $a 321.5 $v 21η εκδ.
73,10010066,676 ## $a 928.89 $v 21η εκδ.
,,676 ## $a 889.2 $v 21η εκδ.
74,10010204,676 ## $a 889.21 $v Τοπική
,,676 ## $a 889.209 $v Τοπική
75,10010216,676 ## $a 781.7119009 $v 21η εκδ.
,,676 ## $a 781.7119 $v 22η έκδ.
76,10010243,676 ## $a 880.109 $v 21η εκδ.
,,676 ## $a 370.938 $v 22η έκδ.
77,10010305,676 ## $a 889.11 $v Ελλ. έκδ.
,,676 ## $a 938.353 $v Ελλ. έκδ.
78,10010562,676 ## $a 657 $v 21η εκδ.
,,676 ## $a 658.5 $v 20η
79,10010726,676 ## $a 889.109 $v 21η εκδ.
,,676 ## $a 889.14 $v Ελλ. έκδ.
80,10010740,676 ## $a 880 $v 21η εκδ.
,,676 ## $a 889.11 $v 21η εκδ.
81,10010805,676 ## $a 889.109 $v Τοπική
,,676 ## $a 199.495 $v 23η έκδ.
82,10011967,676 ## $a 938.100722 $v 21η εκδ.
,,676 ## $a 938.10072 $v Ελλ. έκδ.
83,10012041,676 ## $a 880 $v 21η εκδ.
,,676 ## $a 880.11 $v 21η εκδ.
84,10012530,676 ## $a 791.430 949 5 $v 21η εκδ.
,,676 ## $a 384.813
85,10012585,676 ## $a 264.209495 $v 20η
,,676 ## $a 264.2309495 $v 22η έκδ.
86,10012621,676 ## $a 781.711900262 $v 20η
,,676 ## $a 781.7119 $v 22η έκδ.
87,10012868,676 ## $a 378.495 $v 21η εκδ.
,,676 ## $a 378.4955 $v 22η έκδ.
88,10012987,676 ## $a 304.84 $v 21η εκδ.
,,676 ## $a 304.8 ΜΟΥ $v 22η έκδ.
89,10013103,676 ## $a 889.21 $v 21η εκδ.
,,676 ## $a 889.2 $v 21η εκδ.
90,10013252,676 ## $a 938.4 $v 21η εκδ.
,,676 ## $a 938.41231 $v 21η εκδ.
91,10013497,676 ## $a 780.938 $v 20η
,,676 ## $a 781.738 $v 22η έκδ.
92,10013513,676 ## $a 780.938 $v 20η
,,676 ## $a 780.10938 $v 22η έκδ.
93,10013544,676 ## $a 938.4812 $v 21η εκδ.
,,676 ## $a 938.49501 $v 21η εκδ.
94,10013609,676 ## $a 780.94956 $v 21η
,,676 ## $a 780.949565 $v 22η έκδ.
95,10013785,676 ## $a 184 $v 20η
,,676 ## $a 321.07 $v 21η εκδ.
96,10013921,676 ## $a 781.25026 $v 20η
,,676 ## $a 781.25 $v 22η έκδ.
97,10014059,676 ## $a 701.17 $v 22η
,,686 ## $a QUE $v 20η
98,10014822,676 ## $a 780.92 $v 20η
,,676 ## $a 016.78092 $v 22η έκδ.
99,10015243,676 ## $a 493.35 $v 21η εκδ.
,,676 ## $a 494.355
100,10015364,676 ## $a 292.08 $v 21η εκδ.
,,676 ## $a 292.003 $v 22η έκδ.
101,10015481,676 ## $a 481.7 $v 20η έκδ.
,,676 ## $a 011.31 $v 21η έκδ.
102,10015483,676 ## $a 781.62 $v 20η
,,676 ## $a 780.938 $v 22η έκδ.
103,10015643,676 ## $a 792.909 4955 $v 21η εκδ.
,,676 ## $a 792.5094955 $v 22η έκδ.
104,10015736,676 ## $a 572 $v 20η
,,676 ## $a 306 $v 21η εκδ.
105,10015749,676 ## $a 880.11 $v 21η εκδ.
,,676 ## $a 880
106,10015864,676 ## $a 880.1 $v Τοπική
,,676 ## $a 880.11 $v Τοπική
107,10016156,676 ## $a 330.122 $v 20η
,,676 ## $a 338.9 $v 21η εκδ.
108,10016186,676 ## $a 306.859 $v 20η
,,676 ## $a 306.8590938
109,10016318,676 ## $a 840.21 $v 20η
,,676 ## $a 840.21 $v 20η
110,10016424,676 ## $a 808.1 $v 20η έκδ.
,,676 ## $a 808.109495 $v 22η έκδ.
111,10016496,676 ## $a 808.1 $v 20η
,,676 ## $a 808.109495 $v 22η έκδ.
112,10016562,676 ## $a 292.08 $v 21η εκδ.
,,676 ## $a 292.13 $v 23η έκδ.
113,10016631,676 ## $a 938.5091 $v 21η εκδ.
,,676 ## $a 889.2 $v 22η έκδ.
114,10016648,676 ## $a 780.26 $v 21η εκδ.
,,676 ## $a 781.17 $v 22η έκδ.
115,10016718,676 ## $a 945.31 $v 21η εκδ.
,,676 ## $a 355.0094531 $v 21η έκδ.
116,10016737,676 ## $a 889.09 $v 21η εκδ.
,,676 ## $a 889.2 $v 21η εκδ.
117,10016933,676 ## $a 840.21 $v 22η έκδ.
,,686 ## $a PLE $v 21η εκδ.
118,10016948,676 ## $a 889.21 $v Ελλ. έκδ.
,,676 ## $a 889.209 $v Ελλ. έκδ.
119,10017255,676 ## $a 914.9565 $v 21η έκδ.
,,676 ## $a 914.956 $v 21η έκδ.
120,10017380,676 ## $a 889.2 $v 20η
,,676 ## $a 889.209 $v Ελλ. έκδ.
121,10017489,676 ## $a 889.21 $v Ελλ. έκδ.
,,676 ## $a 889.2 $v Ελλ. έκδ.
122,10017591,676 ## $a 470 $v 21η εκδ.
,,676 ## $a 870.1 $v 21η εκδ.
123,10017620,676 ## $a 102 $v 21η εκδ.
,,676 ## $a 100 $v 21η εκδ.
124,10017824,676 ## $a 270.6 $v 21η εκδ.
,,676 ## $a 940.23
125,10018097,676 ## $a 938.307 $v Ελλ. έκδ.
,,676 ## $a 938.308 $v Ελλ. έκδ.
126,10018241,676 ## $a 938.1252 $v 21η εκδ.
,,676 ## $a 292.35 $v 21η εκδ.
127,10018360,676 ## $a 889.21 $v Τοπική
,,676 ## $a 889.209 $v Τοπική
128,10018374,676 ## $a 235.2 $v 21η εκδ.
,,676 ## $a 281.9495 $v 21η εκδ.
129,10018394,676 ## $a 889.2 $v 21η εκδ.
,,676 ## $a 889 $v 21η εκδ.
130,10018663,676 ## $a 184.092 $v 20η
,,676 ## $a 184 $v 22η έκδ.
131,10018692,676 ## $a 509 $v 21η εκδ.
,,676 ## $a 509.04 $v 21η εκδ.
132,10018835,676 ## $a 938.7264 $v 21η εκδ.
,,676 ## $a 938.726 $v 21η εκδ.
133,10018898,676 ## $a 782.42162893 $v 22η έκδ.
,,676 ## $a 782.41629495 $v 21η εκδ.
134,10018945,676 ## $a 938.306 $v Ελλ. έκδ.
,,676 ## $a 938.3 $v Ελλ. έκδ.
135,10018991,676 ## $a 938.306 $v Ελλ. έκδ.
,,676 ## $a 938.3 $v Ελλ. έκδ.
136,10019152,676 ## $a 938.3982 $v Ελλ. έκδ.
,,676 ## $a 938.395 $v Ελλ. έκδ.
137,10019248,676 ## $a 327
,,676 ## $a 327 $v 21η εκδ.
138,10019397,676 ## $a 305.5
,,676 ## $a 900
139,10019408,676 ## $a 330 $v 21η εκδ.
,,676 ## $a 900 $v 21η έκδ.
140,10019533,676 ## $a 945 $v 21
,,676 ## $a 900 $v 21
141,10019791,676 ## $a 907.2 $v 21η
,,676 ## $a 907 $v 21η
142,10020254,676 ## $a 306 $v 21η εκδ.
,,676 ## $a 900 $v 21η εκδ.
143,10020540,676 ## $a 956.94 $v 21η έκδ.
,,676 ## $a 956.9403 $v 21η εκδ.
144,10020694,676 ## $a 780.03 $v 21η εκδ.
,,676 ## $a 780.9495 $v 22η έκδ.
145,10020699,676 ## $a 889.209 $v 21η εκδ.
,,676 ## $a 889.2 $v 22η έκδ.
146,10020732,676 ## $a 780.26 $v 21η εκδ.
,,676 ## $a 780.9495 $v 22η έκδ.
147,10021093,676 ## $a 809.91 $v 21η εκδ
,,676 ## $a 809.3 $v 22η έκδ.
148,10021211,676 ## $a 370.03
,,676 ## $a 370.3 $v 20η
149,10021231,676 ## $a 938.747 $v 21η εκδ.
,,676 ## $a 938.75 $v 22η έκδ.
150,10021480,676 ## $a 938.5092 $v 21η εκδ.
,,676 ## $a 938.5091 $v 21η εκδ.
151,10022083,676 ## $a 320.540904 $v 20η
,,676 ## $a 320.54 $v 21η εκδ.
152,10022565,676 ## $a 791.5 $v 20η
,,676 ## $a 791.5309495 $v 22η έκδ.
153,10022582,676 ## $a 791.5 $v 20η
,,676 ## $a 791.5309495 $v 22η έκδ.
154,10022684,676 ## $a 011.289 $v 21η εκδ.
,,676 ## $a 015.495 $v 22η έκδ.
155,10022857,676 ## $a 889.21 $v Ελλ. έκδ.
,,676 ## $a 889.2 $v Ελλ. έκδ.
156,10022864,676 ## $a 949.6 $v 21η έκδ.
,,676 ## $a 949.603 $v 23η έκδ.
157,10022866,676 ## $a 949.7024 $v 21η εκδ.
,,676 ## $a 949.703 $v 21η εκδ.
158,10023476,676 ## $a 301 $v 21η εκδ.
,,676 ## $a 900 $v 21η εκδ.
159,10023726,676 ## $a 370.15 $v 21η εκδ.
,,676 ## $a 378.1946 $v 21η εκδ.
160,10024036,676 ## $a 398.2 $v 21η εκδ.
,,676 ## $a 398.2 $v 21η εκδ.
161,10024510,676 ## $a 938
,,676 ## $a 938.102 $v 20η
162,10024513,676 ## $a 327.091713
,,676 ## $a 900
163,10024805,676 ## $a 330.9 $v 21η εκδ.
,,676 ## $a 330.904 $v 21η εκδ.
164,10025072,676 ## $a 722 $v 21η εκδ.
,,676 ## $a 722.7 $v 22η έκδ.
165,10025379,676 ## $a 880.1
,,676 ## $a 880.11 $v 21η εκδ.
166,10025536,676 ## $a 281.9495 $v 21η εκδ.
,,676 ## $a 281.9 $v 22η έκδ.
167,10025878,676 ## $a 889.21 $v Ελλ. έκδ.
,,676 ## $a 889.2 $v Ελλ. έκδ.
168,10025982,676 ## $a 889.21
,,676 ## $a 889.209 $v 21η εκδ.
169,10026013,676 ## $a 013.8
,,676 ## $a 013.81 $v 21η εκδ.
170,10026028,676 ## $a 808.2 $v 21η εκδ.
,,676 ## $a 889.21 $v 22η έκδ.
171,10026248,676 ## $a 938.31 $v 21η εκδ.
,,676 ## $a 938.306 $v 21η εκδ.
172,10026678,676 ## $a 889.155
,,676 ## $a 889.15 $v 21η εκδ.
173,10026718,676 ## $a 332.4 $v 21η εκδ.
,,676 ## $a 332.4944 $v 21η εκδ.
174,10027611,676 ## $a 889.2
,,676 ## $a 889.21 $v 21η εκδ.
175,10027648,676 ## $a 889.2
,,676 ## $a 889.21 $v 21η εκδ.
176,10027698,676 ## $a 938.672 $v 21η εκδ.
,,676 ## $a 938.5061 $v 21η εκδ.
177,10027730,676 ## $a 392.37 $v 21η εκδ.
,,676 ## $a 641.5952 $v 21η εκδ.
178,10027865,676 ## $a 302.309 38
,,676 ## $a 938.12 $v 21η εκδ.
179,10027868,676 ## $a 185.092 $v 23η έκδ.
,,676 ## $a 185 $v 23η έκδ.
180,10028030,676 ## $a 481.70216 $v 21η εκδ.
,,676 ## $a 481.7 $v 22η έκδ.
181,10028078,676 ## $a 889.2
,,676 ## $a 889.21 $v 21η εκδ.
182,10028222,676 ## $a 956.101 5
,,676 ## $a 956.015 $v 21η εκδ.
183,10028270,676 ## $a 306.2
,,676 ## $a 306.09 $v 21η εκδ.
184,10028323,676 ## $a 830.11
,,676 ## $a 832.7 $v 22η έκδ.
185,10028574,676 ## $a 792.909495 $v 21η εκδ.
,,676 ## $a 791.0938 $v 22η έκδ.
186,10029066,676 ## $a 880.01 $v 21η εκδ.
,,676 ## $a 801.959 $v 23η έκδ.
187,10029981,676 ## $a 938.282 $v 21η εκδ.
,,676 ## $a 938.117 $v 21η εκδ.
188,10030332,676 ## $a 808.1
,,676 ## $a 840.2 $v 21η εκδ.
189,10030795,676 ## $a 889.1
,,676 ## $a 889.13 $v 21η εκδ.
190,10030882,676 ## $a 792.909 495
,,676 ## $a 792.09495 $v 22η έκδ.
191,10030906,676 ## $a 938.13 $v 21η εκδ.
,,676 ## $a 938 $v 22η έκδ.
192,10030977,676 ## $a 013.8
,,676 ## $a 013.83 $v 21η εκδ.
193,10030985,676 ## $a 889.2 $v Ελλ. έκδ.
,,676 ## $a 889.21 $v Ελλ. έκδ
194,10031013,676 ## $a 889.21
,,676 ## $a 889.2 $v Ελλ. έκδ.
195,10031036,676 ## $a 889.2
,,676 ## $a 889.21 $v 21η εκδ.
196,10031039,676 ## $a 489.3 $v 21η εκδ.
,,676 ## $a 320.9495 $v 23η έκδ.
197,10031056,676 ## $a 889.21 $v Ελλ. έκδ.
,,676 ## $a 889.209 $v Ελλ. έκδ.
198,10031315,676 ## $a 889.209 2
,,676 ## $a 792.8028092 $v 21η εκδ.
,,676 ## $a 792.8092 $v 22η έκδ.
199,10031354,676 ## $a 011.4
,,676 ## $a 027.70025 $v 21η εκδ.
200,10031430,676 ## $a 938.502 $v 21η εκδ.
,,676 ## $a 938.5012 $v 21η έκδ.
201,10031453,676 ## $a 491.991 389
,,676 ## $a 489.3391991 $v 20η
202,10031497,676 ## $a 880.1
,,676 ## $a 889.2 $v 21η εκδ.
203,10031663,676 ## $a 878 $v 21η εκδ.
,,676 ## $a 870.11 $v 22η έκδ.
204,10031775,676 ## $a 889.2014 $v 21η εκδ.
,,676 ## $a 889.2 $v 22η έκδ.
205,10031790,676 ## $a 889.21 $v Ελλ. έκδ.
,,676 ## $a 889.209 $v Ελλ. έκδ.
206,10031903,676 ## $a 327.497 6
,,676 ## $a 327.49504976 $v 21η εκδ.
207,10032002,676 ## $a 489.3
,,676 ## $a 400 $v 21η εκδ.
208,10032054,676 ## $a 889.2 $v 21η εκδ.
,,676 ## $a 889.209 $v Ελλ. έκδ.
209,10032073,676 ## $a 501
,,676 ## $a 003 $v 21η εκδ.
210,10032641,676 ## $a 001.54 $v 21η εκδ.
,,676 ## $a 306/.44 $v 22η εκδ.
211,10032901,676 ## $a 938.481092 $v 21η εκδ.
,,676 ## $a 920.0495 $v 22η έκδ.
212,10032913,676 ## $a 938.5 $v 21η
,,676 ## $a 938.545 $v 21η
213,10033026,676 ## $a 938.4814 $v 21η εκδ.
,,676 ## $a 938.48 $v 21η εκδ.
214,10033908,676 ## $a 876.3 $v 21η εκδ.
,,676 ## $a 870.11 $v 21η εκδ.
215,10033931,676 ## $a 938.37 $v 21η
,,676 ## $a 938.545 $v 21η
216,10034334,676 ## $a 907 $v 21η εκδ.
,,676 ## $a 901 $v 23η έκδ.
217,10034502,676 ## $a 260 $v 21η εκδ.
,,676 ## $a 889.11 $v 21η εκδ.
218,10034769,676 ## $a 787.85 $v 21η εκδ.
,,676 ## $a 787.94 $v 22η έκδ.
219,10034770,676 ## $a 787.85 $v 21η εκδ.
,,676 ## $a 787.94 $v 22η έκδ.
220,10035444,676 ## $a 782.4216289 $v 22η έκδ.
,,676 ## $a 782.4209495 $v 21η εκδ.
221,10035803,676 ## $a 158.39 $v 21η εκδ.
,,676 ## $a 658.3  $v 21η εκδ.
222,10035809,676 ## $a 330.4 $v 21η εκδ.
,,676 ## $a 337
223,10035831,676 ## $a 780.9032 $v 21η έκδ.
,,676 ## $a 782.2 $v 23η έκδ.
224,10035845,676 ## $a 938.3942 $v 21η εκδ.
,,676 ## $a 938.394 $v Ελλ. έκδ.
225,10036166,676 ## $a 889.109 $v Ελλ. έκδ.
,,676 ## $a 792.0902 $v 22η έκδ.
226,10036272,676 ## $a 281.9409495 $v 21η έκδ.
,,676 ## $a 281.94961 $v 23η έκδ.
227,10036429,676 ## $a 938.306 $v Ελλ. έκδ.
,,676 ## $a 938.3 $v Ελλ. έκδ.
228,10036617,676 ## $a 889.2 $v Ελλ. έκδ.
,,676 ## $a 889.209 $v Ελλ. έκδ.
229,10036677,676 ## $a 792.0226 $v 21η εκδ.
,,676 ## $a 372.66 $v 21η εκδ.
230,10036886,676 ## $a 016.78171 $v 21η εκδ.
,,676 ## $a 016.78232219 $v 22η έκδ.
231,10036999,676 ## $a 780.26 $v 21η εκδ.
,,676 ## $a 780.9 $v 22η έκδ.
232,10037167,676 ## $a 333.3209495 $v 21η εκδ.
,,676 ## $a 306.34909495 $v 21η εκδ.
233,10037365,676 ## $a 780.94957 $v 21η εκδ.
,,676 ## $a 781.6289304957 $v 22η έκδ.
234,10037844,676 ## $a 889
,,676 ## $a 889.2 $v Ελλ. έκδ.
235,10037967,676 ## $a 780.92 $v 21η έκδ.
,,676 ## $a 784.2092 $v 23η έκδ.
236,10037975,676 ## $a 783.243 $v 21η έκδ.
,,686 ## $a ΦΑΚ. 1
237,10037976,676 ## $a 783.243 $v 21η έκδ.
,,686 ## $a ΦΑΚ. 1
238,10037980,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ. 1
239,10037981,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ. 1
,,686 ## $a ΦΑΚ. 14
240,10037985,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ. 1 
241,10037987,676 ## $a 783.243 $v 21η έκδ.
,,686 ## $a ΦΑΚ. 1
242,10038055,676 ## $a 780.26 $v 21η εκδ.
,,676 ## $a 780.904 $v 22η έκδ.
243,10038071,676 ## $a 889.109 $v Ελλ. έκδ.
,,676 ## $a 938.4 $v Ελλ. έκδ.
244,10038076,676 ## $a 938.3 $v Ελλ. έκδ.
,,676 ## $a 305.5690893 $v 22η έκδ.
245,10038158,676 ## $a 792.09495 $v 21η εκδ.
,,676 ## $a 792.094959 $v 22η έκδ.
246,10038180,676 ## $a 938.261 $v 21η εκδ.
,,676 ## $a 938.961 $v 22η έκδ.
247,10038421,676 ## $a 370.9495 $v 21η εκδ.
,,676 ## $a 370.949512 $v 22η έκδ.
248,10038715,676 ## $a 880.1 $v 21η εκδ.
,,676 ## $a 880.1 $v 21η εκδ.
249,10038767,676 ## $a 889.2 $v Ελλ. έκδ.
,,676 ## $a 889.109 $v Ελλ. έκδ.
250,10038798,676 ## $a 889.109 $v 21η εκδ.
,,676 ## $a 938.4 $v Ελλ. έκδ.
251,10038840,676 ## $a 331.1208691 $v 21η εκδ.
,,676 ## $a 331.6209495 $v 21η εκδ.
252,10038884,676 ## $a 938 $v Ελλ. έκδ.
,,676 ## $a 938.9 $v Ελλ. έκδ.
253,10038959,676 ## $a 027 $v 21η εκδ.
,,676 ## $a 025.62 $v 21η εκδ.
254,10039504,676 ## $a 938.482 $v 21η έκδ.
,,676 ## $a 199.495 $v 22η έκδ.
255,10039689,676 ## $a 781.628 $v 21η εκδ.
,,676 ## $a 781.6309495 $v 22η έκδ.
256,10039712,676 ## $a 302.23 $v 21η εκδ.
,,676 ## $a 781.17 $v 22η έκδ.
257,10039807,676 ## $a 489.39 $v 21η έκδ.
,,676 ## $a 487.4 $v 23η έκδ.
258,10039853,676 ## $a 780.901 $v 21η εκδ.
,,676 ## $a 781.71 $v 21η εκδ.
259,10039933,676 ## $a 938.63 $v Ελλ. έκδ.
,,676 ## $a 938.6 $v Ελλ. έκδ.
260,10039946,676 ## $a 938.63 $v 21η εκδ.
,,676 ## $a 364.155209495 $v 21η εκδ.
261,10039950,676 ## $a 338.520949512 $v 21η εκδ.
,,676 ## $a 330. 949 512 $v 21η εκδ.
262,10039966,676 ## $a 070 $v 21η εκδ.
,,676 ## $a 070.409495 $v 21η εκδ.
263,10041122,676 ## $a 783.24309495 $v 21η έκδ.
,,686 ## $a ΦΑΚ. 1
,,686 ## $a ΦΑΚ. 6
264,10041368,676 ## $a 938.75 $v 21η εκδ.
,,676 ## $a 938.7 $v 22η έκδ.
265,10041690,676 ## $a 914.95 $v 21η εκδ.
,,676 ## $a 938.647 $v 21η εκδ.
266,10041766,676 ## $a 780.92 $v 21η εκδ.
,,676 ## $a 784.2092 $v 22η έκδ.
267,10041767,676 ## $a 780.26 $v 21η εκδ.
,,676 ## $a 784.2092 $v 22η έκδ.
268,10041887,676 ## $a 787.78 $v 21η εκδ.
,,676 ## $a 787.7819 $v 22η έκδ.
269,10041959,676 ## $a 786.509 $v 21η εκδ.
,,676 ## $a 786.519 $v 22η έκδ.
270,10042376,676 ## $a 372.87 $v 21η εκδ.
,,676 ## $a 372.87044 $v 22η έκδ.
271,10042616,676 ## $a 938.291 $v Ελλ. έκδ.
,,676 ## $a 938.993 $v Ελλ. έκδ.
272,10042666,676 ## $a 880.1 $v 21η εκδ.
,,676 ## $a 880.09 $v 22η έκδ.
273,10043131,676 ## $a 010.009495 $v 21η εκδ.
,,676 ## $a 011.009495 $v 22η έκδ.
274,10043160,676 ## $a 292.08 $v 21η εκδ.
,,676 ## $a 796.48 $v 22η έκδ.
275,10043171,676 ## $a 016.78242162 $v 21η εκδ.
,,676 ## $a 016.7824216289 $v 22η έκδ.
276,10043284,676 ## $a 190.09034 $v 21η εκδ.
,,676 ## $a 193 $v 22η έκδ.
277,10043647,676 ## $a 889.21 $v Ελλ. έκδ.
,,676 ## $a 889.2 $v Ελλ. έκδ.
